"","X","batting_team","velo","game","team_avg","game_diff","tv_provider"
"2709",2709,"Houston Astros",88.1041666666667,663386,88.7728280921226,-0.668661425455923,"Local"
"2710",2710,"Los Angeles Angels",88.676,663386,88.7450776389442,-0.0690776389441794,"Local"
"2711",2711,"Milwaukee Brewers",88.9387096774194,662109,88.6465041131023,0.292205564317115,"Local"
"2712",2712,"San Francisco Giants",81.0052631578947,662109,88.2224995096412,-7.21723635174654,"Local"
"2713",2713,"Miami Marlins",87.4095238095238,661374,88.2246899350156,-0.815166125491842,"Local"
"2714",2714,"Philadelphia Phillies",92.76875,661374,89.0319565724385,3.73679342756145,"Local"
"2715",2715,"Atlanta Braves",89.5307692307692,662516,89.902094809833,-0.371325579063821,"Local"
"2716",2716,"Washington Nationals",88.772,662516,87.1776225650982,1.59437743490176,"Local"
"2717",2717,"Boston Red Sox",84.2566666666667,661260,88.9910088456763,-4.73434217900963,"Local"
"2718",2718,"New York Yankees",85.55,661260,90.1797716542271,-4.62977165422714,"Local"
"2719",2719,"Kansas City Royals",88.9333333333333,661719,88.6473411570678,0.285992176265452,"Local"
"2720",2720,"Toronto Blue Jays",92.1294117647059,661719,90.2405645948016,1.88884716990431,"Local"
"2721",2721,"Cleveland Guardians",83.7375,662942,87.4553960764391,-3.71789607643912,"Local"
"2722",2722,"Detroit Tigers",88.3241379310345,662942,87.38664663204,0.937491298994516,"Local"
"2723",2723,"Baltimore Orioles",85.3806451612903,661874,88.7909675414808,-3.41032238019048,"Local"
"2724",2724,"Tampa Bay Rays",88.3916666666667,661874,89.0880962528633,-0.696429586196615,"Local"
"2725",2725,"Seattle Mariners",90.7652173913043,661810,87.7553787873181,3.00983860398625,"Local"
"2726",2726,"Texas Rangers",90.68125,661810,89.1728653403279,1.50838465967206,"Local"
"2727",2727,"Houston Astros",90.8363636363636,662923,88.7728280921226,2.06353554424098,"Local"
"2728",2728,"Oakland Athletics",87.8296296296296,662923,88.0397013552326,-0.210071725602958,"Local"
"2729",2729,"Chicago White Sox",88.1,661674,88.9457272739417,-0.845727273941677,"Local"
"2730",2730,"Minnesota Twins",90.1296296296296,661674,89.7185025011873,0.411127128442317,"Local"
"2731",2731,"Cincinnati Reds",89.7,661116,87.8291722055408,1.87082779445922,"Local"
"2732",2732,"St. Louis Cardinals",90.835,661116,87.6113204929726,3.22367950702738,"Local"
"2733",2733,"Colorado Rockies",92.1545454545455,661113,87.3418701699949,4.81267528455059,"Apple TV"
"2734",2734,"Pittsburgh Pirates",90.8448275862069,661113,88.1787093297232,2.66611825648374,"Apple TV"
"2735",2735,"Los Angeles Angels",92.5863636363636,663385,88.7450776389442,3.84128599741942,"Local"
"2736",2736,"Los Angeles Dodgers",88.65625,663385,89.4577842612238,-0.801534261223836,"Local"
"2737",2737,"Arizona Diamondbacks",88.1086956521739,662197,88.1188788623215,-0.0101832101476305,"Apple TV"
"2738",2738,"San Diego Padres",89.2296296296296,662197,87.7530734570588,1.47655617257078,"Apple TV"
"2739",2739,"Milwaukee Brewers",82.1,662072,88.6465041131023,-6.54650411310229,"Local"
"2740",2740,"San Francisco Giants",86.9931034482759,662072,88.2224995096412,-1.22939606136534,"Local"
"2741",2741,"Chicago White Sox",90.1892857142857,661673,88.9457272739417,1.24355844034403,"Local"
"2742",2742,"Minnesota Twins",90.3434782608696,661673,89.7185025011873,0.624975759682314,"Local"
"2743",2743,"Cincinnati Reds",86.1833333333333,661966,87.8291722055408,-1.64583887220749,"FS1"
"2744",2744,"St. Louis Cardinals",88.4827586206897,661966,87.6113204929726,0.871438127717084,"FS1"
"2745",2745,"Chicago Cubs",90.9590909090909,661114,88.6023410464028,2.35674986268812,"Local"
"2746",2746,"New York Mets",89.9095238095238,661114,88.2921628813038,1.61736092821998,"Local"
"2747",2747,"Chicago Cubs",90.4291666666667,661115,88.6023410464028,1.82682562026392,"Local"
"2748",2748,"New York Mets",90.0111111111111,661115,88.2921628813038,1.71894822980728,"Local"
"2749",2749,"Kansas City Royals",90.6964285714286,661718,88.6473411570678,2.04908741436076,"Local"
"2750",2750,"Toronto Blue Jays",93.4296296296296,661718,90.2405645948016,3.189065034828,"Local"
"2751",2751,"Colorado Rockies",89.0041666666667,661081,87.3418701699949,1.6622964966718,"Local"
"2752",2752,"Pittsburgh Pirates",86.7666666666667,661081,88.1787093297232,-1.41204266305647,"Local"
"2753",2753,"Seattle Mariners",88.5558823529412,661809,87.7553787873181,0.800503565623146,"Local"
"2754",2754,"Texas Rangers",88.7652173913043,661809,89.1728653403279,-0.407647949023641,"Local"
"2755",2755,"Atlanta Braves",91.0724137931035,662483,89.902094809833,1.17031898327048,"Local"
"2756",2756,"Washington Nationals",87.4785714285714,662483,87.1776225650982,0.300948863473153,"Local"
"2757",2757,"Cleveland Guardians",92.70625,662952,87.4553960764391,5.25085392356088,"Local"
"2758",2758,"Detroit Tigers",82.22,662952,87.38664663204,-5.16664663203998,"Local"
"2759",2759,"Houston Astros",90.9538461538462,662909,88.7728280921226,2.18101806172358,"Local"
"2760",2760,"Oakland Athletics",87.9176470588235,662909,88.0397013552326,-0.122054296409047,"Local"
"2761",2761,"Baltimore Orioles",84.9433333333333,661873,88.7909675414808,-3.84763420814748,"Local"
"2762",2762,"Tampa Bay Rays",88.6620689655172,661873,89.0880962528633,-0.426027287346116,"Local"
"2763",2763,"Miami Marlins",87.8904761904762,661359,88.2246899350156,-0.33421374453944,"Local"
"2764",2764,"Philadelphia Phillies",90.9909090909091,661359,89.0319565724385,1.95895251847055,"Local"
"2765",2765,"Boston Red Sox",92.2375,661259,88.9910088456763,3.24649115432366,"FOX"
"2766",2766,"New York Yankees",94.0357142857143,661259,90.1797716542271,3.85594263148717,"FOX"
"2767",2767,"Milwaukee Brewers",89.0833333333333,662113,88.6465041131023,0.436829220231019,"FOX"
"2768",2768,"San Francisco Giants",85.0818181818182,662113,88.2224995096412,-3.14068132782303,"FOX"
